block	timestep	content_hidden_rms_mean	content_hidden_rms_median	content_hidden_rms_std	content_hidden_rms_min	content_hidden_rms_max	content_hidden_rms_q1	content_hidden_rms_q3	style_hidden_rms_mean	style_hidden_rms_median	style_hidden_rms_std	style_hidden_rms_min	style_hidden_rms_max	style_hidden_rms_q1	style_hidden_rms_q3	content_hidden_over_style_hidden_mean	content_hidden_over_style_hidden_median	content_hidden_over_style_hidden_std	content_hidden_over_style_hidden_min	content_hidden_over_style_hidden_max	content_hidden_over_style_hidden_q1	content_hidden_over_style_hidden_q3	content_delta_rms_mean	content_delta_rms_median	content_delta_rms_std	content_delta_rms_min	content_delta_rms_max	content_delta_rms_q1	content_delta_rms_q3	style_delta_rms_mean	style_delta_rms_median	style_delta_rms_std	style_delta_rms_min	style_delta_rms_max	style_delta_rms_q1	style_delta_rms_q3	content_delta_over_style_delta_mean	content_delta_over_style_delta_median	content_delta_over_style_delta_std	content_delta_over_style_delta_min	content_delta_over_style_delta_max	content_delta_over_style_delta_q1	content_delta_over_style_delta_q3	tendency
4	0.5	1.2248756885528564	1.2233978509902954	0.06178272143006325	1.0429818630218506	1.4354572296142578	1.1835086345672607	1.2656358480453491	1.2387615442276	1.222518801689148	0.0973958969116211	1.0001537799835205	1.5600050687789917	1.1715776920318604	1.2906023263931274	0.994530200958252	0.997125506401062	0.08900920301675797	0.7100245952606201	1.320293664932251	0.9363181591033936	1.0542709827423096	0.27291521430015564	0.27180665731430054	0.03709840402007103	0.16407479345798492	0.447671502828598	0.2466069757938385	0.29810550808906555	0.21872229874134064	0.216242715716362	0.03368765115737915	0.13181255757808685	0.3600446581840515	0.1946549415588379	0.24097813665866852	1.2692556381225586	1.259364128112793	0.2162827104330063	0.7020094394683838	2.0060153007507324	1.1139302253723145	1.4043986797332764	content
4	0.9	1.2248756885528564	1.2233978509902954	0.06178272143006325	1.0429818630218506	1.4354572296142578	1.1835086345672607	1.2656358480453491	1.2387615442276	1.222518801689148	0.0973958969116211	1.0001537799835205	1.5600050687789917	1.1715776920318604	1.2906023263931274	0.994530200958252	0.997125506401062	0.08900920301675797	0.7100245952606201	1.320293664932251	0.9363181591033936	1.0542709827423096	0.23415441811084747	0.23297569155693054	0.033213622868061066	0.13689100742340088	0.399444043636322	0.2111019343137741	0.2562945485115051	0.1855309009552002	0.18343041837215424	0.030079366639256477	0.10517725348472595	0.3092494606971741	0.16385000944137573	0.20470550656318665	1.2858752012252808	1.2760663032531738	0.22722332179546356	0.6937021017074585	2.077439308166504	1.1233407258987427	1.4314502477645874	content
5	0.1	1.222078561782837	1.218853235244751	0.05066106468439102	1.058670163154602	1.4327898025512695	1.1880770921707153	1.2525568008422852	1.4669588804244995	1.4593342542648315	0.10165225714445114	1.2061139345169067	1.753733515739441	1.391188144683838	1.5396093130111694	0.837382435798645	0.8350943326950073	0.0713716596364975	0.6493444442749023	1.1212595701217651	0.7842808961868286	0.887198805809021	0.27820807695388794	0.27788931131362915	0.041727177798748016	0.16136141121387482	0.4231022596359253	0.2487042248249054	0.30553752183914185	0.35985204577445984	0.35145992040634155	0.05198154225945473	0.23495638370513916	0.5443542003631592	0.3233602046966553	0.38910984992980957	0.7828067541122437	0.7824767827987671	0.12835745513439178	0.4118227958679199	1.2408324480056763	0.6976715326309204	0.8696393966674805	style
5	0.5	1.222078561782837	1.218853235244751	0.05066106468439102	1.058670163154602	1.4327898025512695	1.1880770921707153	1.2525568008422852	1.4669588804244995	1.4593342542648315	0.10165225714445114	1.2061139345169067	1.753733515739441	1.391188144683838	1.5396093130111694	0.837382435798645	0.8350943326950073	0.0713716596364975	0.6493444442749023	1.1212595701217651	0.7842808961868286	0.887198805809021	0.23276670277118683	0.2335806041955948	0.039137035608291626	0.11890875548124313	0.3635459542274475	0.20564302802085876	0.2594585418701172	0.29242321848869324	0.2864525616168976	0.04513390734791756	0.18424208462238312	0.46341484785079956	0.2619692087173462	0.31642064452171326	0.8073795437812805	0.8046979904174805	0.14890097081661224	0.4152018129825592	1.374597191810608	0.7033939957618713	0.9031457901000977	style
5	0.9	1.222078561782837	1.218853235244751	0.05066106468439102	1.058670163154602	1.4327898025512695	1.1880770921707153	1.2525568008422852	1.4669588804244995	1.4593342542648315	0.10165225714445114	1.2061139345169067	1.753733515739441	1.391188144683838	1.5396093130111694	0.837382435798645	0.8350943326950073	0.0713716596364975	0.6493444442749023	1.1212595701217651	0.7842808961868286	0.887198805809021	0.20893554389476776	0.21006491780281067	0.035814426839351654	0.10745255649089813	0.33720317482948303	0.18432483077049255	0.23343531787395477	0.2573777437210083	0.25249171257019043	0.042011409997940063	0.1435270756483078	0.44361820816993713	0.22992382943630219	0.279338002204895	0.8259299993515015	0.8223059177398682	0.1622450053691864	0.3946741819381714	1.4014557600021362	0.7125888466835022	0.934377908706665	style
6	0.1	1.2174217700958252	1.2187635898590088	0.06792504340410233	1.003057599067688	1.4543352127075195	1.1675004959106445	1.264691710472107	1.2804076671600342	1.273000955581665	0.1030983254313469	1.0151091814041138	1.6105434894561768	1.2029705047607422	1.3508858680725098	0.9568160772323608	0.9508604407310486	0.0926283746957779	0.7050129771232605	1.3041025400161743	0.8891910314559937	1.0167334079742432	0.33290138840675354	0.33262917399406433	0.0563458688557148	0.18015742301940918	0.5242546200752258	0.29296284914016724	0.3711875081062317	0.3199414014816284	0.31927719712257385	0.044264569878578186	0.16608783602714539	0.5019636750221252	0.2919454872608185	0.3471658527851105	1.0480397939682007	1.0349558591842651	0.16350330412387848	0.6121647357940674	1.735765814781189	0.9311021566390991	1.1561551094055176	content
6	0.5	1.2174217700958252	1.2187635898590088	0.06792504340410233	1.003057599067688	1.4543352127075195	1.1675004959106445	1.264691710472107	1.2804076671600342	1.273000955581665	0.1030983254313469	1.0151091814041138	1.6105434894561768	1.2029705047607422	1.3508858680725098	0.9568160772323608	0.9508604407310486	0.0926283746957779	0.7050129771232605	1.3041025400161743	0.8891910314559937	1.0167334079742432	0.2727033495903015	0.27193641662597656	0.047242265194654465	0.14059147238731384	0.4630995988845825	0.23969413340091705	0.3048069179058075	0.2550221383571625	0.25267693400382996	0.03682998940348625	0.12535658478736877	0.42991921305656433	0.23135969042778015	0.27574166655540466	1.0779366493225098	1.0608625411987305	0.17536155879497528	0.6612623333930969	1.7896981239318848	0.9538235664367676	1.1866496801376343	content
6	0.9	1.2174217700958252	1.2187635898590088	0.06792504340410233	1.003057599067688	1.4543352127075195	1.1675004959106445	1.264691710472107	1.2804076671600342	1.273000955581665	0.1030983254313469	1.0151091814041138	1.6105434894561768	1.2029705047607422	1.3508858680725098	0.9568160772323608	0.9508604407310486	0.0926283746957779	0.7050129771232605	1.3041025400161743	0.8891910314559937	1.0167334079742432	0.23932233452796936	0.24015513062477112	0.04149313271045685	0.12737034261226654	0.4179713726043701	0.210592120885849	0.26747292280197144	0.22404703497886658	0.22227759659290314	0.033311087638139725	0.10804315656423569	0.3839564025402069	0.20266149938106537	0.24365371465682983	1.0788257122039795	1.0602283477783203	0.1846686154603958	0.633598268032074	1.8838444948196411	0.9468374848365784	1.1935174465179443	content
7	0.1	1.2160770893096924	1.2144075632095337	0.04692050442099571	1.058777928352356	1.3766783475875854	1.185070276260376	1.245796799659729	1.1700966358184814	1.1675351858139038	0.07270815223455429	0.9622824192047119	1.4179731607437134	1.1215211153030396	1.221867561340332	1.0436058044433594	1.0380483865737915	0.08060034364461899	0.8454540371894836	1.3393772840499878	0.9857868552207947	1.0940213203430176	0.38680288195610046	0.3812841475009918	0.04726262390613556	0.26041528582572937	0.5900149941444397	0.3527991473674774	0.41577330231666565	0.2927108705043793	0.28803396224975586	0.043460000306367874	0.16031940281391144	0.4613596200942993	0.26445090770721436	0.3165091872215271	1.341678261756897	1.333343744277954	0.2036062330007553	0.759740948677063	2.014554738998413	1.2045724391937256	1.4679908752441406	content
7	0.5	1.2160770893096924	1.2144075632095337	0.04692050442099571	1.058777928352356	1.3766783475875854	1.185070276260376	1.245796799659729	1.1700966358184814	1.1675351858139038	0.07270815223455429	0.9622824192047119	1.4179731607437134	1.1215211153030396	1.221867561340332	1.0436058044433594	1.0380483865737915	0.08060034364461899	0.8454540371894836	1.3393772840499878	0.9857868552207947	1.0940213203430176	0.3394935727119446	0.33675387501716614	0.03895788639783859	0.22591078281402588	0.5062113404273987	0.31157100200653076	0.36471283435821533	0.23091983795166016	0.2273993194103241	0.036576807498931885	0.1295873522758484	0.39598992466926575	0.20561732351779938	0.2513188123703003	1.4959864616394043	1.485425591468811	0.22871287167072296	0.8384075164794922	2.466151714324951	1.343041181564331	1.6344335079193115	content
