sample_index	font	target_char	style_chars	normal_context_vs_content_flat_cos	normal_context_vs_content_token_cos_mean	normal_context_vs_raw_style_mean_flat_cos	normal_context_vs_raw_style_mean_token_cos_mean	trimmed_context_vs_content_flat_cos	trimmed_context_vs_content_token_cos_mean	trimmed_context_vs_raw_style_mean_flat_cos	trimmed_context_vs_raw_style_mean_token_cos_mean	normal_vs_trimmed_flat_cos	normal_vs_trimmed_l1
115733	方正字汇-赵永海魏碑 简	品	偶榆商盏鸟扑	0.005766687449067831	0.0009609323460608721	-0.0008794113527983427	0.0015090764500200748	0.005335070192813873	0.0002318092156201601	-0.0006179451011121273	0.001710320357233286	0.9979120492935181	0.03102261759340763
134321	方正宝城体 简	细	昼旁翩商臣毯	0.0023749233223497868	-0.0026860623620450497	-0.011907689273357391	-0.011483075097203255	0.0024803527630865574	-0.002795550972223282	-0.011931516230106354	-0.011293232440948486	0.997875452041626	0.03048727847635746
234244	方正纤俊黑简体	哄	蛆缠瘤邓溜圆	0.0036947238259017467	0.010157104581594467	-0.01857781782746315	-0.01573357544839382	0.003954910673201084	0.010376311838626862	-0.01893845573067665	-0.016076672822237015	0.9993269443511963	0.024700544774532318
6271	MiSans-Light	上	烛宫漏龄怕孽	0.00329549890011549	0.013304220512509346	-0.02325299195945263	-0.02030222862958908	0.0036243991926312447	0.01368989422917366	-0.02526506409049034	-0.02272869646549225	0.9987140893936157	0.0330321304500103
282405	方正韵动中黑简体	窗	锥俭妙昨巡哪	0.011276233941316605	0.023120399564504623	-0.008790325373411179	0.0005335707683116198	0.011941047385334969	0.023685233667492867	-0.008249610662460327	0.0010822361800819635	0.9982247352600098	0.03627447783946991
26134	书体坊何绍基楷 简	嘀	熊守鬼喻逼澳	-0.006601637229323387	-0.008684379979968071	0.017530357465147972	0.01784665882587433	-0.007262582890689373	-0.009263359010219574	0.01849600486457348	0.018759537488222122	0.9974048137664795	0.03523724153637886
181687	方正橡皮章体 简 Heavy	遗	甘互饿跛飘楣	0.022569559514522552	0.021859383210539818	0.014482337981462479	0.015366634353995323	0.02169688791036606	0.02089623361825943	0.014730121940374374	0.015535322017967701	0.9986900091171265	0.028744740411639214
103660	方正奇妙体 简繁 Heavy	靠	僵门首苟遗蘸	0.029241468757390976	0.03496748208999634	-0.022780150175094604	-0.019031889736652374	0.02862275019288063	0.03427913412451744	-0.022983688861131668	-0.01915604993700981	0.9991747736930847	0.026350144296884537
232307	方正粗雅宋简体	黑	血井去检他仓	-0.006503304000943899	-0.004160190932452679	-0.011776600033044815	-0.010884810239076614	-0.007857199758291245	-0.005317173432558775	-0.011881422251462936	-0.010815000161528587	0.9983488917350769	0.03323382884263992
100468	方正墨颜体	汽	卵婶恋伶昨剖	-0.002917045960202813	-0.008587988093495369	-0.002728166989982128	-0.007117711007595062	-0.003211893141269684	-0.008893013000488281	-0.0030700140632689	-0.007273688912391663	0.9989097118377686	0.025296898558735847
